Date,Open,High,Low,Close,Adj Close,Volume
2005-10-31,120.29,121.3,120.13,120.13,89.49,77698900
2005-11-01,120.58,120.9,120.22,120.49,89.76,66365100
2005-11-02,120.17,121.75,120.13,121.75,90.7,74012300
2005-11-03,122.15,122.66,121.75,122.27,91.09,84897600
2005-11-04,122.4,122.46,121.55,122.11,90.97,59156000
2005-11-07,122.37,122.62,121.85,122.23,91.06,46765400
2005-11-08,121.93,122.42,121.79,122.23,91.06,42152800
2005-11-09,122.08,122.95,121.86,122.39,91.18,57666800
2005-11-10,122.34,123.52,121.75,123.34,91.88,79048100
2005-11-11,123.35,123.84,122.43,123.76,92.2,34867000
2005-11-14,123.79,124.02,123.38,123.69,92.15,45092200
2005-11-15,123.55,124.09,122.86,123.24,91.81,69592500
2005-11-16,123.37,123.55,122.98,123.49,92.0,51133000
2005-11-17,123.68,124.65,123.14,124.64,92.85,55717500
2005-11-18,125.06,125.28,124.33,125.13,93.22,72437200
2005-11-21,125.15,125.91,124.98,125.76,93.69,50021200
2005-11-22,125.56,126.52,125.42,126.3,94.09,66438800
2005-11-23,126.25,127.41,126.21,127.03,94.63,50854700
2005-11-25,126.98,127.22,126.81,127.13,94.71,15270000
2005-11-28,127.25,127.27,126.04,126.23,94.04,54498500
2005-11-29,126.65,126.98,126.09,126.09,93.93,51738900
2005-11-30,126.16,126.52,125.29,125.41,93.43,56007200
2005-12-01,126.02,127.03,125.98,126.69,94.38,65468200
2005-12-02,126.77,127.08,126.5,126.85,94.5,46699400
2005-12-05,126.7,126.73,126.18,126.58,94.3,59273400
2005-12-06,127.05,127.74,126.63,126.82,94.48,57935200
2005-12-07,126.77,126.87,125.68,126.08,93.93,66816500
2005-12-08,126.22,126.82,125.48,126.0,93.87,62608600
2005-12-09,126.16,126.78,125.82,126.33,94.11,50744500
2005-12-12,126.71,126.86,125.96,126.45,94.2,48389900
2005-12-13,126.42,127.7,126.29,127.31,94.84,88630900
2005-12-14,127.19,128.09,127.14,127.81,95.21,64375000
2005-12-15,127.84,128.0,127.18,127.44,94.94,55900300
2005-12-16,127.28,127.36,126.36,126.36,94.63,46238300
2005-12-19,126.73,126.87,125.69,125.71,94.15,48733000
